variable	value	result	frequency	percent
PS527Q01T	r	Not reached	4797	0.99
PS527Q03T	0	No credit	15669	3.23
PS527Q03T	1	No credit	51312	10.57
PS527Q03T	2	Full credit	73572	15.15
PS527Q03T	7	N/A	336560	69.32
PS527Q03T	8	Invalid	45	0.01
PS527Q03T	9	Missing	3054	0.63
PS527Q03T	r	Not reached	5278	1.09
PS527Q04T	0	No credit	4170	0.86
PS527Q04T	1	No credit	29033	5.98
PS527Q04T	2	No credit	37121	7.65
PS527Q04T	3	Full credit	69614	14.34
PS527Q04T	7	N/A	336559	69.32
PS527Q04T	8	Invalid	41	0.01
PS527Q04T	9	Missing	3431	0.71
PS527Q04T	r	Not reached	5521	1.14
PM155Q02R	00	No credit	31569	6.5
PM155Q02R	11	Partial credit	6037	1.24
PM155Q02R	12	Partial credit	10794	2.22
PM155Q02R	13	Partial credit	2798	0.58
PM155Q02R	21	Full credit	65079	13.4
PM155Q02R	97	N/A	338818	69.79
PM155Q02R	99	Missing	30395	6.26
PM155Q03R	00	No credit	58358	12.02
PM155Q03R	11	Partial credit	1815	0.37
PM155Q03R	12	Partial credit	12509	2.58
PM155Q03R	13	Partial credit	2041	0.42
PM155Q03R	21	Full credit	1537	0.32
PM155Q03R	22	Full credit	9088	1.87
PM155Q03R	23	Full credit	1990	0.41
PM155Q03R	97	N/A	338832	69.79
PM155Q03R	99	Missing	59320	12.22
PM462Q01R	01	No credit	56559	11.65
PM462Q01R	02	No credit	28162	5.8
PM462Q01R	11	Partial credit	2373	0.49
PM462Q01R	12	Partial credit	7987	1.65
PM462Q01R	21	Full credit	9755	2.01
PM462Q01R	97	N/A	338811	69.79
PM462Q01R	99	Missing	41843	8.62
PM953Q04R	00	No credit	49439	10.18
PM953Q04R	11	Partial credit	2824	0.58
PM953Q04R	12	Partial credit	5679	1.17
PM953Q04R	21	Full credit	13787	2.84
PM953Q04R	97	N/A	377063	77.67
PM953Q04R	99	Missing	36698	7.56
PM991Q02R	00	No credit	27924	5.75
PM991Q02R	11	Partial credit	823	0.17
PM991Q02R	12	Partial credit	199	0.04
PM991Q02R	21	Full credit	1187	0.24
PM991Q02R	97	N/A	442346	91.11
PM991Q02R	99	Missing	13011	2.68
PS131Q02R	01	No credit	16607	3.42
PS131Q02R	02	No credit	16690	3.44
PS131Q02R	03	No credit	28432	5.86
PS131Q02R	11	Full credit	38706	7.97
PS131Q02R	12	Full credit	21102	4.35
PS131Q02R	97	N/A	339444	69.92
PS131Q02R	99	Missing	24509	5.05
PS269Q03R	01	No credit	29500	6.08
PS269Q03R	02	No credit	13541	2.79
PS269Q03R	03	No credit	1331	0.27
PS269Q03R	04	No credit	37749	7.78
PS269Q03R	11	Full credit	24724	5.09
PS269Q03R	12	Full credit	10925	2.25
PS269Q03R	97	N/A	341624	70.37
PS269Q03R	99	Missing	26096	5.38
PS131Q04R	01	No credit	19630	4.04
PS131Q04R	02	No credit	47417	9.77
PS131Q04R	11	Full credit	44691	9.21
PS131Q04R	12	Full credit	11690	2.41
PS131Q04R	97	N/A	336337	69.28
PS131Q04R	99	Missing	25725	5.3
PS438Q03R	01	No credit	67947	14
PS438Q03R	11	Full credit	26616	5.48
PS438Q03R	12	Full credit	18992	3.91
PS438Q03R	97	N/A	339135	69.85
PS438Q03R	99	Missing	32800	6.76
PM034Q01R	21	Full credit	49469	10.19
PM034Q01R	9997	N/A	338925	69.81
PM034Q01R	9998	Invalid	2458	0.51
PM034Q01R	9999	Missing	13222	2.72
PM155Q04R	2111	Full credit	71527	14.73
PM155Q04R	7777	N/A	338795	69.78
PM155Q04R	8888	Invalid	18	0
PM155Q04R	9999	Missing	9439	1.94
PM192Q01R	112	Full credit	31	0.01
PM192Q01R	122	Full credit	446	0.09
PM192Q01R	132	Full credit	2827	0.58
PM192Q01R	142	Full credit	19385	3.99
PM192Q01R	152	Full credit	2327	0.48
PM192Q01R	161	Full credit	35	0.01
PM192Q01R	162	Full credit	15246	3.14
PM192Q01R	163	Full credit	6818	1.4
PM192Q01R	164	Full credit	950	0.2
PM192Q01R	165	Full credit	660	0.14
PM192Q01R	166	Full credit	10	0
PM192Q01R	168	Full credit	10	0
PM192Q01R	169	Full credit	15	0
PM192Q01R	172	Full credit	2	0
PM192Q01R	182	Full credit	106	0.02
PM192Q01R	192	Full credit	50	0.01
PM192Q01R	262	Full credit	16	0
PM192Q01R	362	Full credit	450	0.09
PM192Q01R	462	Full credit	125	0.03
PM192Q01R	562	Full credit	98	0.02
PM192Q01R	662	Full credit	2	0
PM192Q01R	777	N/A	339019	69.83
PM192Q01R	862	Full credit	2	0
PM192Q01R	888	Invalid	2559	0.53
PM192Q01R	962	Full credit	2	0
PM192Q01R	999	Missing	9567	1.97
PM273Q01R	4213	Full credit	67978	14
PM273Q01R	9997	N/A	336451	69.3
PM273Q01R	9998	Invalid	3135	0.65
PM273Q01R	9999	Missing	9528	1.96
PM408Q01R	1222	Full credit	48542	10
PM408Q01R	7777	N/A	336433	69.3
PM408Q01R	8888	Invalid	12	0
PM408Q01R	9999	Missing	4753	0.98
PM420Q01R	1112	Full credit	64542	13.29
PM420Q01R	7777	N/A	336432	69.3
PM420Q01R	8888	Invalid	14	0
PM420Q01R	9999	Missing	4426	0.91
PM464Q01R	144	Full credit	29245	6.02
PM464Q01R	9997	N/A	336893	69.39
PM464Q01R	9998	Invalid	13982	2.88
PM464Q01R	9999	Missing	17950	3.7
PM496Q01R	2111	Full credit	68570	14.12
PM496Q01R	7777	N/A	338995	69.83
PM496Q01R	8888	Invalid	33	0.01
PM496Q01R	9999	Missing	3597	0.74
PM603Q01R	112	Full credit	57243	11.79
PM603Q01R	777	N/A	338973	69.82
PM603Q01R	888	Invalid	20	0
PM603Q01R	999	Missing	7326	1.51
PM803Q01R	12	Full credit	31552	6.5
PM803Q01R	9997	N/A	339341	69.9
PM803Q01R	9998	Invalid	17430	3.59
PM803Q01R	9999	Missing	16387	3.38
PM905Q01R	12	Full credit	81510	16.79
PM905Q01R	77	N/A	377060	77.67
PM905Q01R	88	Invalid	26	0.01
PM905Q01R	99	Missing	5804	1.2
PM949Q01R	211	Full credit	90405	18.62
PM949Q01R	777	N/A	335389	69.08
PM949Q01R	888	Invalid	18	0
PM949Q01R	999	Missing	5762	1.19
PM949Q02R	112	Full credit	43607	8.98
PM949Q02R	777	N/A	335390	69.08
PM949Q02R	888	Invalid	24	0
PM949Q02R	999	Missing	5875	1.21
PM967Q03R	22	Full credit	3243	0.67
PM967Q03R	77	N/A	442291	91.1
PM967Q03R	88	Invalid	9	0
PM967Q03R	99	Missing	5331	1.1
PM982Q03R	11	Full credit	88490	18.23
PM982Q03R	77	N/A	338706	69.77
PM982Q03R	88	Invalid	28	0.01
PM982Q03R	99	Missing	4391	0.9
PM998Q04R	12	Full credit	53929	11.11
PM998Q04R	77	N/A	336509	69.31
PM998Q04R	88	Invalid	55	0.01
PM998Q04R	99	Missing	9820	2.02
PR404Q07R	122	Full credit	41012	8.45
PR404Q07R	777	N/A	339176	69.86
PR404Q07R	888	Invalid	27	0.01
PR404Q07R	999	Missing	4905	1.01
PR412Q06R	12	Full credit	53839	11.09
PR412Q06R	77	N/A	333675	68.73
PR412Q06R	88	Invalid	28	0.01
PR412Q06R	99	Missing	9378	1.93
PR424Q02R	121	Full credit	56817	11.7
PR424Q02R	777	N/A	339176	69.86
PR424Q02R	888	Invalid	31	0.01
PR424Q02R	999	Missing	6529	1.34
PR432Q06R	112121221	Full credit	17679	3.64
PR432Q06R	777777777	N/A	339284	69.88
PR432Q06R	888888888	Invalid	47	0.01
PR432Q06R	999999999	Missing	13487	2.78
PR453Q05R	2112	Full credit	81748	16.84
PR453Q05R	7777	N/A	333692	68.73
PR453Q05R	8888	Invalid	25	0.01
PR453Q05R	9999	Missing	7636	1.57
PR455Q05R	2122	Full credit	28993	5.97
PR455Q05R	7777	N/A	338050	69.63
PR455Q05R	8888	Invalid	27	0.01
PR455Q05R	9999	Missing	8300	1.71
PR466Q03R	122	Full credit	20122	4.14
PR466Q03R	777	N/A	339298	69.89
PR466Q03R	888	Invalid	48	0.01
PR466Q03R	999	Missing	7002	1.44
PS269Q04R	2112	Full credit	45242	9.32
PS269Q04R	7777	N/A	336320	69.27
PS269Q04R	8888	Invalid	28	0.01
PS269Q04R	9999	Missing	5364	1.1
PS326Q04R	122	Full credit	32332	6.66
PS326Q04R	777	N/A	336271	69.26
PS326Q04R	888	Invalid	29	0.01
PS326Q04R	999	Missing	7708	1.59
PS408Q04R	211	Full credit	69598	14.34
PS408Q04R	777	N/A	336319	69.27
PS408Q04R	888	Invalid	22	0
PS408Q04R	999	Missing	4815	0.99
PS413Q04R	112	Full credit	55417	11.41
PS413Q04R	777	N/A	336271	69.26
PS413Q04R	888	Invalid	25	0.01
PS413Q04R	999	Missing	6346	1.31
PS415Q07R	21	Full credit	96284	19.83
PS415Q07R	77	N/A	339071	69.84
PS415Q07R	88	Invalid	59	0.01
PS415Q07R	99	Missing	8688	1.79
PS415Q08R	112	Full credit	75484	15.55
PS415Q08R	777	N/A	339066	69.84
PS415Q08R	888	Invalid	27	0.01
PS415Q08R	999	Missing	9279	1.91
PS438Q01R	112	Full credit	107372	22.12
PS438Q01R	777	N/A	339039	69.83
PS438Q01R	888	Invalid	16	0
PS438Q01R	999	Missing	6679	1.38
PS466Q01R	121	Full credit	97920	20.17
PS466Q01R	777	N/A	335182	69.04
PS466Q01R	888	Invalid	23	0
PS466Q01R	999	Missing	8540	1.76
PS466Q07R	21	Full credit	93793	19.32
PS466Q07R	77	N/A	335203	69.04
PS466Q07R	88	Invalid	32	0.01
PS466Q07R	99	Missing	9193	1.89
PS478Q02R	212	Full credit	71473	14.72
PS478Q02R	777	N/A	336275	69.27
PS478Q02R	888	Invalid	25	0.01
PS478Q02R	999	Missing	5350	1.1
PS478Q03R	12	Full credit	94135	19.39
PS478Q03R	77	N/A	336273	69.26
PS478Q03R	88	Invalid	34	0.01
PS478Q03R	99	Missing	5066	1.04
PS498Q02R	121	Full credit	60766	12.52
PS498Q02R	777	N/A	336270	69.26
PS498Q02R	888	Invalid	52	0.01
PS498Q02R	999	Missing	7450	1.53
PS519Q02R	12	Full credit	74782	15.4
PS519Q02R	77	N/A	336317	69.27
PS519Q02R	88	Invalid	62	0.01
PS519Q02R	99	Missing	8329	1.72
PS527Q01R	133	Full credit	21234	4.37
PS527Q01R	777	N/A	336509	69.31
PS527Q01R	888	Invalid	112	0.02
PS527Q01R	999	Missing	10241	2.11
PS527Q03R	112	Full credit	43157	8.89
PS527Q03R	122	Full credit	30271	6.24
PS527Q03R	182	Full credit	54	0.01
PS527Q03R	192	Full credit	90	0.02
PS527Q03R	777	N/A	336502	69.31
PS527Q03R	888	Invalid	28	0.01
PS527Q03R	999	Missing	8387	1.73
PS527Q04R	121	Full credit	69614	14.34
PS527Q04R	777	N/A	336502	69.31
PS527Q04R	888	Invalid	27	0.01
PS527Q04R	999	Missing	9008	1.86
